,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,한일홀딩스,주당액면가액(원),"1,000","5,000","5,000",
1,한일홀딩스,(연결)당기순이익(백만원),"49,115","13,810","511,738",
2,한일홀딩스,(별도)당기순이익(백만원),"8,569","-61,476","391,291",
3,한일홀딩스,(연결)주당순이익(원),"1,677",461,"18,787",
4,한일홀딩스,현금배당금총액(백만원),"14,696","13,787","13,187",
5,한일홀딩스,주식배당금총액(백만원),-,-,-,
6,한일홀딩스,(연결)현금배당성향(%),29.92,99.83,2.58,
7,한일홀딩스,현금배당수익률(%),4.54,5.24,4.18,보통주
8,한일홀딩스,현금배당수익률(%),-,-,-,
9,한일홀딩스,주식배당수익률(%),-,-,-,보통주
10,한일홀딩스,주식배당수익률(%),-,-,-,
11,한일홀딩스,주당 현금배당금(원),510,"2,300","2,200",보통주
12,한일홀딩스,주당 현금배당금(원),-,-,-,
13,한일홀딩스,주당 주식배당(주),-,-,-,보통주
14,한일홀딩스,주당 주식배당(주),-,-,-,
