,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,와이즈버즈,주당액면가액(원),100,500,500,
1,와이즈버즈,(연결)당기순이익(백만원),"-2,144","3,587","2,028",
2,와이즈버즈,(별도)당기순이익(백만원),-,-,-,
3,와이즈버즈,(연결)주당순이익(원),-50,92,52,
4,와이즈버즈,현금배당금총액(백만원),-,-,-,
5,와이즈버즈,주식배당금총액(백만원),-,-,-,
6,와이즈버즈,(연결)현금배당성향(%),-,-,-,
7,와이즈버즈,현금배당수익률(%),-,-,-,보통주
8,와이즈버즈,현금배당수익률(%),-,-,-,우선주
9,와이즈버즈,주식배당수익률(%),-,-,-,보통주
10,와이즈버즈,주식배당수익률(%),-,-,-,우선주
11,와이즈버즈,주당 현금배당금(원),-,-,-,보통주
12,와이즈버즈,주당 현금배당금(원),-,-,-,우선주
13,와이즈버즈,주당 주식배당(주),-,-,-,보통주
14,와이즈버즈,주당 주식배당(주),-,-,-,우선주
