,corp_name,se,thstrm,frmtrm,lwfr
0,CJ ENM,주당액면가액(원),"5,000","5,000","5,000"
1,CJ ENM,(연결)당기순이익(백만원),"56,926","104,247","162,632"
2,CJ ENM,(별도)당기순이익(백만원),"168,434","319,728","110,764"
3,CJ ENM,(연결)주당순이익(원),"2,596","4,754","8,284"
4,CJ ENM,현금배당금총액(백만원),"33,167","27,488","23,557"
5,CJ ENM,주식배당금총액(백만원),-,-,-
6,CJ ENM,(연결)현금배당성향(%),58.30,26.40,14.50
7,CJ ENM,현금배당수익률(%),1.20,0.90,0.60
8,CJ ENM,현금배당수익률(%),-,-,-
9,CJ ENM,주식배당수익률(%),-,-,-
10,CJ ENM,주식배당수익률(%),-,-,-
11,CJ ENM,주당 현금배당금(원),"1,600","1,400","1,200"
12,CJ ENM,주당 현금배당금(원),-,-,-
13,CJ ENM,주당 주식배당(주),-,-,-
14,CJ ENM,주당 주식배당(주),-,-,-
