,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,나우IB,주당액면가액(원),"5,000","5,000","5,000",
1,나우IB,(연결)당기순이익(백만원),"7,627","2,944","2,236",
2,나우IB,(별도)당기순이익(백만원),"7,627","2,944",-,
3,나우IB,(연결)주당순이익(원),807,312,279,
4,나우IB,현금배당금총액(백만원),"1,417","1,417","1,417",
5,나우IB,주식배당금총액(백만원),-,-,-,
6,나우IB,(연결)현금배당성향(%),18.60,48.10,63.40,
7,나우IB,현금배당수익률(%),2.10,3.30,3.70,보통주
8,나우IB,현금배당수익률(%),-,-,-,
9,나우IB,주식배당수익률(%),-,-,-,
10,나우IB,주식배당수익률(%),-,-,-,
11,나우IB,주당 현금배당금(원),150,150,150,보통주
12,나우IB,주당 현금배당금(원),-,-,-,
13,나우IB,주당 주식배당(주),-,-,-,
14,나우IB,주당 주식배당(주),-,-,-,
