,corp_name,se,thstrm,frmtrm,lwfr
0,태경케미컬,주당액면가액(원),500,500,500
1,태경케미컬,(연결)당기순이익(백만원),"7,734","9,823","2,906"
2,태경케미컬,(별도)당기순이익(백만원),"7,078","3,511","3,929"
3,태경케미컬,(연결)주당순이익(원),681,858,251
4,태경케미컬,현금배당금총액(백만원),"2,267","1,715","1,729"
5,태경케미컬,주식배당금총액(백만원),-,-,-
6,태경케미컬,(연결)현금배당성향(%),29.31,17.46,59.50
7,태경케미컬,현금배당수익률(%),1.40,2.90,3.20
8,태경케미컬,현금배당수익률(%),-,-,-
9,태경케미컬,주식배당수익률(%),-,-,-
10,태경케미컬,주식배당수익률(%),-,-,-
11,태경케미컬,주당 현금배당금(원),200,150,150
12,태경케미컬,주당 현금배당금(원),-,-,-
13,태경케미컬,주당 주식배당(주),-,-,-
14,태경케미컬,주당 주식배당(주),-,-,-
