,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,JYP Ent.,주당액면가액(원),500,500,500,
1,JYP Ent.,(연결)당기순이익(백만원),"29,636","31,220","24,275",
2,JYP Ent.,(별도)당기순이익(백만원),"24,937","27,767","22,271",
3,JYP Ent.,(연결)주당순이익(원),892,947,742,
4,JYP Ent.,현금배당금총액(백만원),"5,110","5,129","4,020",
5,JYP Ent.,주식배당금총액(백만원),-,-,-,
6,JYP Ent.,(연결)현금배당성향(%),17.24,16.39,16.86,
7,JYP Ent.,현금배당수익률(%),0.40,0.70,0.40,보통주
8,JYP Ent.,현금배당수익률(%),-,-,-,
9,JYP Ent.,주식배당수익률(%),-,-,-,보통주
10,JYP Ent.,주식배당수익률(%),-,-,-,
11,JYP Ent.,주당 현금배당금(원),154,155,122,보통주
12,JYP Ent.,주당 현금배당금(원),-,-,-,
13,JYP Ent.,주당 주식배당(주),-,-,-,보통주
14,JYP Ent.,주당 주식배당(주),-,-,-,
