,corp_name,se,thstrm,frmtrm,lwfr
0,티웨이홀딩스,주당액면가액(원),500,500,500
1,티웨이홀딩스,(연결)당기순이익(백만원),"-144,397","-47,662","33,830"
2,티웨이홀딩스,(별도)당기순이익(백만원),"-4,998","-4,145","-5,377"
3,티웨이홀딩스,(연결)주당순이익(원),"-1,115",-388,344
4,티웨이홀딩스,현금배당금총액(백만원),-,-,-
5,티웨이홀딩스,주식배당금총액(백만원),-,-,-
6,티웨이홀딩스,(연결)현금배당성향(%),-,-,-
7,티웨이홀딩스,현금배당수익률(%),-,-,-
8,티웨이홀딩스,현금배당수익률(%),-,-,-
9,티웨이홀딩스,주식배당수익률(%),-,-,-
10,티웨이홀딩스,주식배당수익률(%),-,-,-
11,티웨이홀딩스,주당 현금배당금(원),-,-,-
12,티웨이홀딩스,주당 현금배당금(원),-,-,-
13,티웨이홀딩스,주당 주식배당(주),-,-,-
14,티웨이홀딩스,주당 주식배당(주),-,-,-
15,티웨이홀딩스,주당 주식배당(주),-,-,-
