,corp_name,se,thstrm,frmtrm,lwfr
0,화천기공,주당액면가액(원),"5,000","5,000","5,000"
1,화천기공,(연결)당기순이익(백만원),"4,516","7,454","12,657"
2,화천기공,(별도)당기순이익(백만원),"3,331","8,002","12,334"
3,화천기공,(연결)주당순이익(원),"2,053","3,388","5,753"
4,화천기공,현금배당금총액(백만원),"1,650","2,750","2,750"
5,화천기공,주식배당금총액(백만원),-,-,-
6,화천기공,(연결)현금배당성향(%),36.54,36.89,21.73
7,화천기공,현금배당수익률(%),2.28,3.15,3.03
8,화천기공,현금배당수익률(%),-,-,-
9,화천기공,주식배당수익률(%),-,-,-
10,화천기공,주식배당수익률(%),-,-,-
11,화천기공,주당 현금배당금(원),750,"1,250","1,250"
12,화천기공,주당 현금배당금(원),-,-,-
13,화천기공,주당 주식배당(주),-,-,-
14,화천기공,주당 주식배당(주),-,-,-
