,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,우신시스템,주당액면가액(원),500,500,500,
1,우신시스템,(연결)당기순이익(백만원),"-12,309","5,782","-3,978",
2,우신시스템,(별도)당기순이익(백만원),-415,"-8,819","2,790",
3,우신시스템,(연결)주당순이익(원),-749,347,-239,
4,우신시스템,현금배당금총액(백만원),-,-,167,
5,우신시스템,주식배당금총액(백만원),-,-,-,
6,우신시스템,(연결)현금배당성향(%),-,-,-4.20,
7,우신시스템,현금배당수익률(%),-,-,0.15,보통주
8,우신시스템,현금배당수익률(%),-,-,-,
9,우신시스템,주식배당수익률(%),-,-,-,보통주
10,우신시스템,주식배당수익률(%),-,-,-,
11,우신시스템,주당 현금배당금(원),-,-,10,보통주
12,우신시스템,주당 현금배당금(원),-,-,-,
13,우신시스템,주당 주식배당(주),-,-,-,보통주
14,우신시스템,주당 주식배당(주),-,-,-,
