,corp_name,se,thstrm,frmtrm,lwfr
0,AJ네트웍스,주당액면가액(원),"1,000","1,000","1,000"
1,AJ네트웍스,(연결)당기순이익(백만원),"-3,317","42,129","37,268"
2,AJ네트웍스,(별도)당기순이익(백만원),"17,121","50,739","-22,339"
3,AJ네트웍스,(연결)주당순이익(원),-83,982,24
4,AJ네트웍스,현금배당금총액(백만원),"9,832","14,047","4,682"
5,AJ네트웍스,주식배당금총액(백만원),-,-,-
6,AJ네트웍스,(연결)현금배당성향(%),-,33.34,12.56
7,AJ네트웍스,현금배당수익률(%),4.58,6.10,2.30
8,AJ네트웍스,현금배당수익률(%),-,-,-
9,AJ네트웍스,주식배당수익률(%),-,-,-
10,AJ네트웍스,주식배당수익률(%),-,-,-
11,AJ네트웍스,주당 현금배당금(원),210,300,100
12,AJ네트웍스,주당 현금배당금(원),-,-,-
13,AJ네트웍스,주당 주식배당(주),-,-,-
14,AJ네트웍스,주당 주식배당(주),-,-,-
