,corp_name,se,thstrm,frmtrm,lwfr
0,남해화학,주당액면가액(원),"1,000","1,000","1,000"
1,남해화학,(연결)당기순이익(백만원),"25,044","16,041","8,350"
2,남해화학,(별도)당기순이익(백만원),-,-,-
3,남해화학,(연결)주당순이익(원),522,335,175
4,남해화학,현금배당금총액(백만원),"3,836","2,877","2,397"
5,남해화학,주식배당금총액(백만원),-,-,-
6,남해화학,(연결)현금배당성향(%),15.30,17.90,28.71
7,남해화학,현금배당수익률(%),0.99,0.73,0.44
8,남해화학,현금배당수익률(%),-,-,-
9,남해화학,주식배당수익률(%),-,-,-
10,남해화학,주식배당수익률(%),-,-,-
11,남해화학,주당 현금배당금(원),80,60,50
12,남해화학,주당 현금배당금(원),-,-,-
13,남해화학,주당 주식배당(주),-,-,-
14,남해화학,주당 주식배당(주),-,-,-
