,corp_name,se,thstrm,frmtrm,lwfr
0,조광페인트,주당액면가액(원),500,500,500
1,조광페인트,(연결)당기순이익(백만원),"4,464","-2,313","-3,902"
2,조광페인트,(별도)당기순이익(백만원),"1,488","-5,321",-218
3,조광페인트,(연결)주당순이익(원),441,-220,-372
4,조광페인트,현금배당금총액(백만원),"2,023","2,100","1,050"
5,조광페인트,주식배당금총액(백만원),-,-,-
6,조광페인트,(연결)현금배당성향(%),-,-,-
7,조광페인트,현금배당수익률(%),3.12,3.70,1.53
8,조광페인트,현금배당수익률(%),-,-,-
9,조광페인트,주식배당수익률(%),-,-,-
10,조광페인트,주식배당수익률(%),-,-,-
11,조광페인트,주당 현금배당금(원),200,200,100
12,조광페인트,주당 현금배당금(원),-,-,-
13,조광페인트,주당 주식배당(주),-,-,-
14,조광페인트,주당 주식배당(주),-,-,-
