,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,텔코웨어,주당액면가액(원),500,500,500,
1,텔코웨어,(연결)당기순이익(백만원),"1,867","4,283","6,344",
2,텔코웨어,(별도)당기순이익(백만원),"1,904","4,235","6,341",
3,텔코웨어,(연결)주당순이익(원),332,761,"1,127",
4,텔코웨어,현금배당금총액(백만원),"2,701","3,095","3,657",
5,텔코웨어,주식배당금총액(백만원),-,-,-,
6,텔코웨어,(연결)현금배당성향(%),144.60,72.20,57.70,
7,텔코웨어,현금배당수익률(%),3.90,4.00,5.10,보통주
8,텔코웨어,현금배당수익률(%),-,-,-,우선주
9,텔코웨어,주식배당수익률(%),-,-,-,보통주
10,텔코웨어,주식배당수익률(%),-,-,-,우선주
11,텔코웨어,주당 현금배당금(원),480,550,650,보통주
12,텔코웨어,주당 현금배당금(원),-,-,-,우선주
13,텔코웨어,주당 주식배당(주),-,-,-,보통주
14,텔코웨어,주당 주식배당(주),-,-,-,우선주
