,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,경동도시가스,주당액면가액(원),"2,500","2,500","2,500",
1,경동도시가스,(연결)당기순이익(백만원),"18,991","24,544","34,103",
2,경동도시가스,(별도)당기순이익(백만원),"18,814","24,355","33,981",
3,경동도시가스,(연결)주당순이익(원),"3,224","4,167","7,235",
4,경동도시가스,현금배당금총액(백만원),"5,154","5,154","4,124",
5,경동도시가스,주식배당금총액(백만원),-,-,-,
6,경동도시가스,(연결)현금배당성향(%),27.14,21.00,12.09,
7,경동도시가스,현금배당수익률(%),4.60,4.10,2.60,보통주
8,경동도시가스,현금배당수익률(%),-,-,-,우선주
9,경동도시가스,주식배당수익률(%),-,-,-,보통주
10,경동도시가스,주식배당수익률(%),-,-,-,우선주
11,경동도시가스,주당 현금배당금(원),875,875,875,보통주
12,경동도시가스,주당 현금배당금(원),-,-,-,우선주
13,경동도시가스,주당 주식배당(주),-,-,-,보통주
14,경동도시가스,주당 주식배당(주),-,-,-,우선주
