,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,엔씨소프트,주당액면가액(원),500,500,500,
1,엔씨소프트,(연결)당기순이익(백만원),"587,403","358,174","418,185",
2,엔씨소프트,(별도)당기순이익(백만원),"627,524","307,492","438,426",
3,엔씨소프트,(연결)주당순이익(원),"28,504","17,387","19,831",
4,엔씨소프트,현금배당금총액(백만원),"176,193","107,571","124,584",
5,엔씨소프트,주식배당금총액(백만원),-,-,-,
6,엔씨소프트,(연결)현금배당성향(%),30.00,30.00,29.80,
7,엔씨소프트,현금배당수익률(%),1.00,1.00,1.30,보통주
8,엔씨소프트,현금배당수익률(%),-,-,-,우선주
9,엔씨소프트,주식배당수익률(%),-,-,-,보통주
10,엔씨소프트,주식배당수익률(%),-,-,-,우선주
11,엔씨소프트,주당 현금배당금(원),"8,550","5,220","6,050",보통주
12,엔씨소프트,주당 현금배당금(원),-,-,-,우선주
13,엔씨소프트,주당 주식배당(주),-,-,-,보통주
14,엔씨소프트,주당 주식배당(주),-,-,-,우선주
