,corp_name,se,thstrm,frmtrm,lwfr
0,상신브레이크,주당액면가액(원),500,500,500
1,상신브레이크,(연결)당기순이익(백만원),"-2,663","4,057","8,194"
2,상신브레이크,(별도)당기순이익(백만원),"2,679","11,919","16,979"
3,상신브레이크,(연결)주당순이익(원),-138,210,423
4,상신브레이크,현금배당금총액(백만원),968,"1,936","1,936"
5,상신브레이크,주식배당금총액(백만원),-,-,-
6,상신브레이크,(연결)현금배당성향(%),-36.30,47.70,23.60
7,상신브레이크,현금배당수익률(%),1.50,2.80,2.40
8,상신브레이크,현금배당수익률(%),-,-,-
9,상신브레이크,주식배당수익률(%),-,-,-
10,상신브레이크,주식배당수익률(%),-,-,-
11,상신브레이크,주당 현금배당금(원),50,100,100
12,상신브레이크,주당 현금배당금(원),-,-,-
13,상신브레이크,주당 주식배당(주),-,-,-
14,상신브레이크,주당 주식배당(주),-,-,-
15,상신브레이크,주당 주식배당(주),-,-,-
