,corp_name,se,thstrm,frmtrm,lwfr
0,DGB금융지주,주당액면가액(원),"5,000","5,000","5,000"
1,DGB금융지주,(연결)당기순이익(백만원),"332,317","307,323","380,453"
2,DGB금융지주,(별도)당기순이익(백만원),"135,260","79,435","99,248"
3,DGB금융지주,(연결)주당순이익(원),"1,908","1,782","2,215"
4,DGB금융지주,현금배당금총액(백만원),"65,967","69,350","60,892"
5,DGB금융지주,주식배당금총액(백만원),-,-,-
6,DGB금융지주,(연결)현금배당성향(%),19.90,22.60,16.00
7,DGB금융지주,현금배당수익률(%),5.38,5.53,4.14
8,DGB금융지주,현금배당수익률(%),-,-,-
9,DGB금융지주,주식배당수익률(%),-,-,-
10,DGB금융지주,주식배당수익률(%),-,-,-
11,DGB금융지주,주당 현금배당금(원),390,410,360
12,DGB금융지주,주당 현금배당금(원),-,-,-
13,DGB금융지주,주당 주식배당(주),-,-,-
14,DGB금융지주,주당 주식배당(주),-,-,-
