,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,삼화왕관,주당액면가액(원),"5,000","5,000","5,000",
1,삼화왕관,(연결)당기순이익(백만원),"1,495","8,350","9,840",
2,삼화왕관,(별도)당기순이익(백만원),"-3,198","9,206",-,
3,삼화왕관,(연결)주당순이익(원),819,"4,547","5,327",
4,삼화왕관,현금배당금총액(백만원),"2,279","2,479","2,490",
5,삼화왕관,주식배당금총액(백만원),-,-,-,
6,삼화왕관,(연결)현금배당성향(%),152.44,29.69,25.30,
7,삼화왕관,현금배당수익률(%),3.16,2.95,2.91,보통주
8,삼화왕관,현금배당수익률(%),-,-,-,
9,삼화왕관,주식배당수익률(%),-,-,-,
10,삼화왕관,주식배당수익률(%),-,-,-,
11,삼화왕관,주당 현금배당금(원),"1,250","1,350","1,350",보통주
12,삼화왕관,주당 현금배당금(원),-,-,-,
13,삼화왕관,주당 주식배당(주),-,-,-,
14,삼화왕관,주당 주식배당(주),-,-,-,
