,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,강남제비스코,주당액면가액(원),"1,000","1,000","1,000",
1,강남제비스코,(연결)당기순이익(백만원),"23,286","14,623","38,625",
2,강남제비스코,(별도)당기순이익(백만원),"7,353",562,"3,308",
3,강남제비스코,(연결)주당순이익(원),"3,583","2,250","5,942",
4,강남제비스코,현금배당금총액(백만원),"3,250","3,250","3,575",
5,강남제비스코,주식배당금총액(백만원),-,-,-,
6,강남제비스코,(연결)현금배당성향(%),13.96,22.20,9.26,
7,강남제비스코,현금배당수익률(%),2.38,2.47,2.19,보통주
8,강남제비스코,현금배당수익률(%),-,-,-,
9,강남제비스코,주식배당수익률(%),-,-,-,보통주
10,강남제비스코,주식배당수익률(%),-,-,-,
11,강남제비스코,주당 현금배당금(원),500,500,550,보통주
12,강남제비스코,주당 현금배당금(원),-,-,-,
13,강남제비스코,주당 주식배당(주),-,-,-,보통주
14,강남제비스코,주당 주식배당(주),-,-,-,
