,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,화신,주당액면가액(원),500,500,500,
1,화신,(연결)당기순이익(백만원),"-53,755","6,641","-57,095",
2,화신,(별도)당기순이익(백만원),"-21,749","11,795","-33,290",
3,화신,(연결)주당순이익(원),"-1,633",202,"-1,734",
4,화신,현금배당금총액(백만원),"1,646","1,646",823,
5,화신,주식배당금총액(백만원),-,-,-,
6,화신,(연결)현금배당성향(%),-3.00,24.80,-1.40,
7,화신,현금배당수익률(%),1.50,1.60,1.00,보통주
8,화신,현금배당수익률(%),-,-,-,
9,화신,주식배당수익률(%),-,-,-,보통주
10,화신,주식배당수익률(%),-,-,-,
11,화신,주당 현금배당금(원),50,50,25,보통주
12,화신,주당 현금배당금(원),-,-,-,
13,화신,주당 주식배당(주),-,-,-,보통주
14,화신,주당 주식배당(주),-,-,-,
