,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,LF,주당액면가액(원),"5,000","5,000","5,000",
1,LF,(연결)당기순이익(백만원),"17,310","67,643","83,218",
2,LF,(별도)당기순이익(백만원),"39,683","73,927","85,509",
3,LF,(연결)주당순이익(원),605,"2,313","2,846",
4,LF,현금배당금총액(백만원),"14,230","14,620","14,620",
5,LF,주식배당금총액(백만원),-,-,-,
6,LF,(연결)현금배당성향(%),82.20,21.60,17.60,
7,LF,현금배당수익률(%),3.42,2.72,1.98,보통주
8,LF,현금배당수익률(%),-,-,-,우선주
9,LF,주식배당수익률(%),-,-,-,보통주
10,LF,주식배당수익률(%),-,-,-,우선주
11,LF,주당 현금배당금(원),500,500,500,보통주
12,LF,주당 현금배당금(원),-,-,-,우선주
13,LF,주당 주식배당(주),-,-,-,보통주
14,LF,주당 주식배당(주),-,-,-,우선주
