,corp_name,se,thstrm,frmtrm,lwfr
0,SK하이닉스,주당액면가액(원),"5,000","5,000","5,000"
1,SK하이닉스,(연결)당기순이익(백만원),"4,755,102","2,005,975","15,540,111"
2,SK하이닉스,(별도)당기순이익(백만원),"4,217,841","1,476,981","15,407,086"
3,SK하이닉스,(연결)주당순이익(원),"6,952","2,933","22,255"
4,SK하이닉스,현금배당금총액(백만원),"800,282","684,002","1,026,003"
5,SK하이닉스,주식배당금총액(백만원),-,-,-
6,SK하이닉스,(연결)현금배당성향(%),16.80,34.10,6.60
7,SK하이닉스,현금배당수익률(%),1.00,1.10,2.50
8,SK하이닉스,현금배당수익률(%),-,-,-
9,SK하이닉스,주식배당수익률(%),-,-,-
10,SK하이닉스,주식배당수익률(%),-,-,-
11,SK하이닉스,주당 현금배당금(원),"1,170","1,000","1,500"
12,SK하이닉스,주당 현금배당금(원),-,-,-
13,SK하이닉스,주당 주식배당(주),-,-,-
14,SK하이닉스,주당 주식배당(주),-,-,-
