,corp_name,se,thstrm,frmtrm,lwfr,stock_knd
0,진양폴리우레탄,주당액면가액(원),500,500,500,
1,진양폴리우레탄,(연결)당기순이익(백만원),"1,612","7,553",-,
2,진양폴리우레탄,(별도)당기순이익(백만원),"1,459","7,706",958,
3,진양폴리우레탄,(연결)주당순이익(원),161,755,96,
4,진양폴리우레탄,현금배당금총액(백만원),"1,250","1,000",-,
5,진양폴리우레탄,주식배당금총액(백만원),-,-,-,
6,진양폴리우레탄,(연결)현금배당성향(%),77.50,13.20,-,
7,진양폴리우레탄,현금배당수익률(%),2.70,2.80,-,보통주
8,진양폴리우레탄,현금배당수익률(%),-,-,-,
9,진양폴리우레탄,주식배당수익률(%),-,-,-,
10,진양폴리우레탄,주식배당수익률(%),-,-,-,
11,진양폴리우레탄,주당 현금배당금(원),125,100,-,보통주
12,진양폴리우레탄,주당 현금배당금(원),-,-,-,
13,진양폴리우레탄,주당 주식배당(주),-,-,-,
14,진양폴리우레탄,주당 주식배당(주),-,-,-,
