,corp_name,se,thstrm,frmtrm,lwfr
0,현대리바트,주당액면가액(원),"1,000","1,000","1,000"
1,현대리바트,(연결)당기순이익(백만원),"26,593","19,466","38,881"
2,현대리바트,(별도)당기순이익(백만원),"24,903","19,531","36,853"
3,현대리바트,(연결)주당순이익(원),"1,322",968,"1,933"
4,현대리바트,현금배당금총액(백만원),"4,023","3,017","5,833"
5,현대리바트,주식배당금총액(백만원),-,-,-
6,현대리바트,(연결)현금배당성향(%),15.13,15.49,15.00
7,현대리바트,현금배당수익률(%),1.30,1.20,1.40
8,현대리바트,현금배당수익률(%),-,-,-
9,현대리바트,주식배당수익률(%),-,-,-
10,현대리바트,주식배당수익률(%),-,-,-
11,현대리바트,주당 현금배당금(원),200,150,290
12,현대리바트,주당 현금배당금(원),-,-,-
13,현대리바트,주당 주식배당(주),-,-,-
14,현대리바트,주당 주식배당(주),-,-,-
