,tag,제 30 기,제 29 기,제 28 기
2,매출총이익,8632668427,5089268502,"(983,115,908)"
4,영업이익(손실),1265380568,"(4,514,712,055)","(11,439,840,166)"
7,기타영업외이익,895973732,1035485681,730910377
9,법인세비용차감전순이익(손실),"(6,722,372,567)","(4,654,578,881)","(13,301,480,100)"
10,계속영업이익(손실),"(6,722,372,567)","(4,654,578,881)",
11,중단영업이익(손실),,"(1,499,000,000)",
12,당기순이익(손실),"(6,722,372,567)","(6,153,578,881)","(13,301,480,100)"
21,당기순이익(손실)의 귀속,,,
22,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(6,722,372,567)","(6,153,578,881)","(13,301,480,100)"
25,주당이익,,,
26,기본주당이익(손실) (단위 : 원),(398),(7),(21)
27,희석주당이익(손실) (단위 : 원),(398),(10),(21)
