,tag,제 48 기,제 47 기,제 46 기
13,Ⅲ.매출총이익,4886153121,2553888445,2749491208
41,Ⅴ.영업이익(손실),968626905,"(1,611,640,664)","(1,741,614,048)"
42,Ⅵ.기타이익,3450924545,2653104807,1781871522
44,(2)당기손익인식금융자산처분이익,201374702,45853579,35735100
45,(3)당기손익인식금융자산평가이익,1608860427,200622353,126163328
46,(4)관계기업/공동기업투자처분이익,85971629,0,76901978
47,(5)종속기업투자주식처분이익,0,1132972623,0
48,(6)외화환산이익,351563836,232601562,465684345
49,(7)지분법이익,11338911,11933912,25998211
50,(8)잡이익,138387151,15868650,19127474
65,Ⅹ.법인세비용차감전순이익(손실),2043058554,267886847,"(655,112,873)"
67,XⅡ.당기순이익(손실),1350532788,243035558,"(680,754,972)"
75,XV.당기순이익(손실)의 귀속,,,
76,(1)지배기업의 소유주에게 귀속되는 당기순이익(손실),1350532788,243035558,"(680,754,972)"
79,XVII.주당이익,,,
80,(1)기본주당이익(손실) (단위 : 원),1033,182,(499)
81,1.계속영업기본주당이익(손실) (단위 : 원),1033,182,(499)
82,(2)희석주당이익(손실) (단위 : 원),1033,182,(499)
83,1.계속영업희석주당이익(손실) (단위 : 원),1033,182,(499)
