,tag,제 45 기,제 44 기,제 43 기
2,매출총이익,1290340322586,1041934999933,834578340150
7,영업이익,681019009060,476352883489,284963827772
12,법인세비용차감전순이익,442766339881,232966895472,201837236972
14,계속영업 당기순이익,330902557767,150038777044,180201873866
16,당기순이익,236127867008,102300470956,163100029199
17,계속영업당기순이익의 귀속,,,
20,중단영업 당기순이익의 귀속,,,
22,주당이익,,,
23,계속영업기본주당이익 (단위 : 원),13983,6340,7615
24,중단영업기본주당이익(손실) (단위 : 원),"(4,005)","(2,017)",(723)
25,계속영업희석주당이익 (단위 : 원),13983,6340,7615
26,중단영업희석주당이익(손실) (단위 : 원),"(4,005)","(2,017)",(723)
