,tag,제 54 기
2,매출총이익,13539853585.0
4,영업이익,7017229307.0
9,관계기업투자이익,35806485145.0
11,법인세비용차감전순이익,28044736786.0
13,당기순이익(손실),26213932423.0
20,당기순이익(손실)의 귀속,
26,당기 주당이익,
27,기본 및 희석주당이익(손실) (단위 : 원),1792.0
28,희석주당이익(손실) (단위 : 원),1792.0
