,tag,제 16 기,제 15 기,제 14 기
6,매출총이익,"(12,056,669,811)",19953647993,14388211747
8,영업이익(손실),"(22,122,997,232)",9971145760,4547655670
9,기타이익 (주31),3040723792,33028539668,1554352586
13,법인세비용차감전순이익(손실),"(19,706,123,755)",41370961506,4124193093
15,계속영업이익(손실),"(16,411,366,984)",34912777775,2731275225
16,중단영업이익(손실) (주41),,"(2,168,459,911)","(1,366,318,163)"
17,당기순이익(손실),"(16,411,366,984)",32744317864,1364957062
18,당기순이익(손실)의 귀속,,,
19,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(16,385,108,229)",32760160511,1379480915
20,비지배지분에 귀속되는 당기순이익(손실) (주12),"(26,258,755)","(15,842,647)","(14,523,853)"
21,주당이익 (주28),,,
22,기본(희석)주당이익(손실) (단위 : 원),"(6,230)",12905,924
23,기본(희석)주당이익(손실)-계속영업 (단위 : 원),"(6,230)",12104,464
