,tag,제 55 기,제 54 기,제 53 기
14,매출총이익,10265233050,18497526078,18783798987
40,영업이익(손실),"(4,694,676,135)",7592820584,6838633000
41,기타이익,936337667,477255892,2822647147
42,유형자산처분이익,15051095,30697286,386298491
43,매각예정비유동자산처분이익,180663462,,1866442950
44,종속기업투자처분이익,,,324214296
45,투자부동산처분이익,29992828,,
49,잡이익,501805429,431508606,236499810
63,외화환산이익,79079234,41884838,21
66,당기손익-공정가치측정금융자산평가이익,534506,109049541,
67,당기손익-공정가치측정금융자산처분이익,195773182,434142321,108378560
68,파생상품평가이익,5315729688,,
77,법인세비용차감전순이익(손실),"(19,741,570,075)",4621479099,7694181118
79,계속영업이익(손실),"(18,851,904,523)",1920427105,5367801102
80,중단영업이익(손실),"(3,477,619,898)","(3,728,698,067)","(3,824,965,085)"
81,당기순이익(손실),"(22,329,524,421)","(1,808,270,962)",1542836017
84,기타포괄손익-공정가치측정금융자산처분이익,3164979,290000000,250000000
85,기타포괄손익-공정가치측정금융자산평가이익,16227113,,
90,당기순이익(손실)의 귀속,,,
97,주당이익,,,
98,기본주당이익(손실) (단위 : 원),(404),(131),(48)
99,계속영업기본주당이익(손실) (단위 : 원),(321),(18),69
100,중단영업기본주당이익(손실) (단위 : 원),(83),(113),(117)
101,희석주당이익(손실) (단위 : 원),(404),(131),(48)
102,계속영업희석주당이익(손실) (단위 : 원),(321),(18),69
103,중단영업희석주당이익(손실) (단위 : 원),(83),(113),(117)
