,tag,제 35 기,제 34 기
10,영업이익,153148431943,153775896651
15,법인세비용차감전 계속영업이익,96323602242,170164613033
17,계속영업이익(손실),51038426431,136086256433
18,중단영업이익(손실),1889807725,"(58,420,499,860)"
19,당기순이익(손실),52928234156,77665756573
31,당기순이익(손실)의 귀속,,
32,지배기업의 소유주에게 귀속되는 당기순이익(손실),16908329914,29208433836
33,비지배지분에 귀속되는 당기순이익(손실),36019904242,48457322737
37,주당이익,,
38,기본주당이익(손실) (단위 : 원),447,771
39,계속영업기본주당이익(손실) (단위 : 원),399,2298
40,중단영업기본주당이익(손실) (단위 : 원),48,"(1,527)"
41,희석주당이익(손실) (단위 : 원),447,771
42,계속영업희석주당이익(손실) (단위 : 원),399,2298
43,중단영업희석주당이익(손실) (단위 : 원),48,"(1,527)"
