,tag,제 48 기,제 47 기,제 46 기
2,영업총이익,1104456588238,1164929237218,1082750551679
4,영업이익,204917149866,205813034039,181096627404
9,관계기업투자이익,0,68831001,
11,법인세비용차감전순이익,196897413312,209814354719,190455474722
13,당기순이익,158280183551,139453304163,131868993213
14,당기순이익의 귀속,,,
15,지배기업소유지분순이익,157399949855,138055156767,129712696668
16,비지배지분순이익(손실),880233696,1398147396,2156296545
24,당기포괄이익(손실),143422457443,142029733429,122369982643
25,연결당기포괄이익(손실)의 귀속,,,
26,지배기업소유지분순이익(손실),142604780511,140226983104,121379833014
27,비지배지분순이익(손실),817676932,1802750325,990149629
28,지배기업 지분에 대한 주당순이익,,,
29,기본주당분기순이익 (단위 : 원),1554,1363,1281
30,희석주당분기순이익 (단위 : 원),1554,1363,1281
