,tag,제 27 기,제 26 기,제 25 기
2,매출총이익,"(16,988,045,841)","(14,302,302,513)",14641780534
4,영업이익(손실),"(30,480,103,324)","(30,788,621,852)",194988855
5,기타이익,1773907944,1138147119,1277774168
9,관계기업지분법이익(손실),0,"(469,297,874)","(30,745,826)"
10,법인세비용차감전순이익(손실),"(33,985,289,834)","(30,421,054,316)",1645854926
12,당기순이익(손실),"(37,043,643,132)","(30,408,090,188)",1659060544
20,당기순이익(손실)의 귀속,,,
21,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(37,043,643,132)","(30,408,090,188)",1659060544
22,비지배지분에 귀속되는 당기순이익(손실),0,0,0
26,주당이익,,,
27,기본주당이익(손실) (단위 : 원),"(1,311)","(1,076)",59
28,희석주당이익(손실) (단위 : 원),"(1,311)","(1,076)",59
