,tag,제 47 기,제 46 기,제 45 기
2,매출총이익,52963558768,97084396667.0,144699260464
4,영업이익,6314020021,49416451445.0,102242203836
9,관계기업 당기순이익에 대한 지분,4950720949,4631094831.0,3390724956
10,법인세비용차감전순이익(손실),"(5,466,822,963)",24467292757.0,93621615570
11,법인세비용(이익),2101529520,14104635581.0,23846746140
12,당기순이익(손실),"(7,568,352,483)",10362657176.0,69774869430
13,당기순이익의 귀속,,,
19,지분법이익잉여금 변동,23511947,0.0,0
23,총포괄이익(손실),"(8,038,021,859)",12899725862.0,65389911922
24,당기총포괄이익의 귀속,,,
28,기본 및 희석주당순이익(손실) (단위 : 원),(139),162.0,1119
