,tag,제 2 기,제 1 기
2,매출총이익,96737283822,23599107872.0
4,영업이익(손실),30385573962,10179272706.0
9,법인세비용차감전순이익(손실),"(2,277,481,410)",6850314479.0
11,- 당기순이익(손실),"(11,038,453,090)",4493418770.0
12,당기순이익(손실)의 귀속,,
13,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(11,038,453,090)",4493418770.0
14,비지배지분에 귀속되는 당기순이익(손실),,
15,주당순이익,,
16,기본주당이익(손실) (단위 : 원),,
17,계속영업기본주당이익(손실) (단위 : 원),,
18,보통주기본주당계속영업이익(손실) (단위 : 원),(279),113.0
19,구형우선주기본주당계속영업이익(손실) (단위 : 원),(278),114.0
20,희석주당이익(손실) (단위 : 원),,
21,계속영업희석주당이익(손실) (단위 : 원),,
22,보통주희석주당계속영업이익(손실) (단위 : 원),(279),113.0
23,구형우선주희석주당계속영업이익(손실) (단위 : 원),(278),114.0
