,tag,제 22 기,제 21 기,제 20 기
2,매출총이익,331885938436,480004000935,374484405124
4,영업이익(손실),139524243361,275564427840,146382520066
5,기타이익,41958488429,11557693663,7378248284
9,지분법이익,18805233,328508165,270032173
11,법인세비용차감전순이익(손실),82489082021,129453229751,79660495141
13,당기순이익(손실),72313949881,168292166221,55539464108
22,당기순이익(손실)의 귀속,,,
23,지배기업의 소유주에게 귀속되는 당기순이익(손실),74619319055,170402864200,57188119828
24,비지배지분에 귀속되는 당기순이익(손실),"(2,305,369,174)","(2,110,697,979)","(1,648,655,720)"
28,주당이익,,,
29,기본주당이익(손실) (단위 : 원),766,1748,587
30,희석주당이익(손실) (단위 : 원),766,1748,587
