,tag,제 65 기,제 64 기,제 63 기
2,매출총이익,148891708,130779939,138086483
4,영업이익(손실),46300876,29481279,32729828
7,기타이익,20990564,13737715,8678485
10,법인세비용차감전순이익(손실),35280776,17743075,16930039
12,계속영업이익(손실),22674699,11538266,11343288
13,중단영업이익(손실),,2892355,"(1,590,011)"
14,당기순이익(손실),22674699,14430621,9753277
15,당기순이익(손실)의 귀속,,,
16,지배기업의 소유주에게 귀속되는 당기순이익(손실),22611448,14739632,9729575
17,비지배지분에 귀속되는 당기순이익(손실),63251,"(309,011)",23702
31,주당이익,,,
32,기본주당이익(손실) (단위 : 원),2625,1717,1124
33,계속영업기본주당이익(손실) (단위 : 원),2625,1367,1317
34,중단영업기본주당이익(손실) (단위 : 원),,350,(193)
35,희석주당이익(손실) (단위 : 원),2616,1702,1116
36,계속영업희석주당이익(손실) (단위 : 원),2616,1357,1309
37,중단영업희석주당이익(손실) (단위 : 원),,345,(193)
