,tag,제 29 기,제 28 기,제 27 기
2,매출총이익,53164716947,38651141822,33966241693
4,영업이익(손실),9434363974,"(8,331,188,207)","(11,777,031,210)"
5,기타이익,4942814475,3933795125,4337718353
9,법인세비용차감전순이익(손실),6099273126,"(12,108,995,568)","(14,499,833,881)"
11,당기순이익(손실),7769632709,"(13,605,914,722)","(13,596,003,980)"
12,당기순이익(손실)의 귀속,,,
13,지배기업의 소유주에게 귀속되는 당기순이익(손실),7769977442,"(13,606,883,522)","(13,594,277,915)"
14,비지배지분에 귀속되는 당기순이익(손실),"(344,733)",968800,"(1,726,065)"
25,주당이익,,,
26,기본주당이익(손실) (단위 : 원),777,"(1,361)","(1,360)"
27,희석주당이익(손실) (단위 : 원),777,"(1,361)","(1,360)"
