,tag,제 84 기,제 83 기,제 82 기
2,매출총이익,2428148109875,3074615615272,2936469082865
4,영업이익(손실),274996524581,1228551216003,1106421879930
9,지분법적용투자이익(손실),"(15,121,640,899)","(12,744,860,621)","(27,291,649,726)"
10,법인세비용차감전순이익(손실),"(899,301,630,041)",139274588158,"(79,642,926,674)"
12,계속영업이익(손실),"(970,661,188,420)","(97,330,292,870)","(313,083,346,304)"
13,중단영업이익(손실),6769231904,530437065402,"(27,427,648,210)"
14,-당기순이익(손실),"(963,891,956,516)",433106772532,"(340,510,994,514)"
15,당기순이익(손실)의 귀속,,,
16,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(553,308,372,608)",420382967672,"(116,862,087,819)"
17,비지배지분에 귀속되는 당기순이익(손실),"(410,583,583,908)",12723804860,"(223,648,906,696)"
18,주당이익,,,
19,계속영업기본주당이익(손실) (단위 : 원),,,
20,보통주기본주당계속영업이익(손실) (단위 : 원),"(31,496)","(7,884)","(8,798)"
21,구형우선주기본주당계속영업이익(손실) (단위 : 원),"(31,456)","(7,900)","(5,108)"
22,중단영업기본주당이익(손실) (단위 : 원),,,
23,보통주기본주당중단영업이익(손실) (단위 : 원),404,29784,2843
24,구형우선주기본주당중단영업이익(손실) (단위 : 원),404,29845,(797)
25,보통주기본주당순이익 (단위 : 원),"(31,092)",21900,"(5,955)"
26,구형우선주기본주당순이익 (단위 : 원),"(31,052)",21945,"(5,905)"
27,계속영업희석주당이익(손실) (단위 : 원),,,
28,보통주희석주당계속영업이익(손실) (단위 : 원),"(31,496)","(7,884)","(8,798)"
29,구형우선주희석주당계속영업이익(손실) (단위 : 원),"(31,456)","(7,900)","(5,107)"
30,중단영업희석주당이익(손실) (단위 : 원),,,
31,보통주희석주당중단영업이익(손실) (단위 : 원),404,29784,2843
32,구형우선주희석주당중단영업이익(손실) (단위 : 원),404,29845,(798)
33,보통주희석주당순이익 (단위 : 원),"(31,092)",21900,"(5,955)"
34,구형우선주희석주당순이익 (단위 : 원),"(31,052)",21945,"(5,905)"
