,tag,제 66 기,제 65 기,제 64 기
2,매출총이익(손실),26069760238,44742698395,46973445190
4,영업이익(손실),"(20,831,644,526)","(13,983,746,531)","(12,140,610,836)"
10,법인세비용차감전순이익(손실),"(17,206,331,886)",2554313400,"(10,987,813,979)"
12,당기순이익(손실),"(11,427,243,423)",275497763,"(10,111,397,794)"
13,당기순이익(손실)의 귀속,,,
14,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(11,674,563,869)","(2,083,816,376)","(9,587,288,858)"
15,비지배지분에 귀속되는 당기순이익(손실),247320446,2359314139,"(524,108,936)"
22,기타포괄손익-공정가치측정 금융자산 평가이익(세후기타포괄손익),"(135,372,876)","(7,763,365,213)",7654721311
24,지분법이익잉여금,38959115,346717172,"(358,870,033)"
29,주당이익,,,
30,기본주당이익(손실) (단위 : 원),(177),(32),(180)
31,희석주당이익(손실) (단위 : 원),(177),(32),(180)
