,tag,제 65 기,제 64 기,제 63 기
2,Ⅲ.매출총이익,162154463456,114324342239,126496310650
4,Ⅴ.영업이익(손실),82681994091,57567232117,65722919012
10,XI.법인세비용차감전순이익(손실),66013565244,83743480365,60494709221
12,XⅢ.계속영업이익(손실),37385685704,62679582850,38601251901
13,XIV.중단영업이익(손실),"(901,492,002)",209460473,"(2,281,470,217)"
14,XV.당기순이익(손실),36484193702,62889043323,36319781684
15,XVI.당기순이익(손실)의 귀속,,,
28,XVIII.총포괄이익(손실),29139940535,59945021177,30559941098
32,XX.주당이익,,,
33,(1)기본주당이익(손실) (단위 : 원),,,
34,1.계속영업기본주당이익(손실) (단위 : 원),2312,2909,1789
35,2.중단영업기본주당이익(손실) (단위 : 원),(52),,(131)
