,tag,제 45 기,제 44 기,제 43 기
2,매출총이익,115073841280,135535460770,112843658526
4,영업이익(손실),"(6,166,002,831)",13168373514,208218401
5,기타이익,25817409313,20021444330,20560664164
10,법인세비용차감전순이익(손실),"(20,106,188,926)","(844,292,600)","(10,898,332,880)"
12,당기순이익(손실),"(21,850,776,814)",1918380843,"(19,354,678,386)"
13,당기순이익(손실)의 귀속,,,
14,지배기업의 소유주에게 귀속되는 당기순이익(손실),"(17,837,382,895)",5563613959,"(19,161,343,586)"
15,비지배지분에 귀속되는 당기순이익(손실),"(4,013,393,919)","(3,645,233,116)","(193,334,800)"
27,주당이익,,,
28,기본주당이익(손실) (단위 : 원),(757),257,(997)
29,희석주당이익(손실) (단위 : 원),(757),225,(997)
