,tag,제 66 기,제 65 기,제 64 기
2,매출총이익,413895539168.0,328669901427.0,202933593658.0
4,영업이익(손실),89262180331.0,86159910151.0,53715501316.0
7,관계기업투자이익,45626250952.0,9448513719.0,4087816634.0
10,법인세비용차감전순이익(손실),143994681463.0,98114483307.0,67390654090.0
12,당기순이익(손실),113621663099.0,79329792644.0,52811111653.0
13,당기순이익(손실)의 귀속,,,
14,지배기업의 소유주에게 귀속되는 당기순이익(손실),78675625297.0,45029443230.0,27457239946.0
15,비지배지분에 귀속되는 당기순이익(손실),34946037802.0,34300349414.0,25353871707.0
16,주당이익,,,
17,기본 및 희석주당이익 (단위 : 원),15711.0,8988.0,5481.0
