,tag,제 53 기,제 52 기,제 51 기
2,매출총이익,40196235464,29448264757,44097563654
4,영업이익(손실),"(195,791,683)","(12,104,565,637)",3233416564
9,지분법이익,552865392,378234361,493590057
10,법인세비용차감전순이익(손실),"(35,383,240,608)","(25,100,367,519)",1011864491
12,계속영업이익(손실),"(34,798,061,119)","(24,703,257,658)",972337737
13,중단영업이익(손실),"(1,476,600)",908856445,87952773
14,당기순이익(손실),"(34,799,537,719)","(23,794,401,213)",1060290510
22,기타포괄손익공정가치측정채무상품평가이익,20053225,27795529,33761143
32,기본주당계속영업이익(손실) (단위 : 원),(128),(305),(7)
33,기본주당중단영업이익(손실) (단위 : 원),(0.03),21,2
34,희석주당계속영업이익(손실) (단위 : 원),(128),(305),(7)
35,희석주당중단영업이익(손실) (단위 : 원),(0.03),21,2
