종목코드,최고가,최저가,수익률(1달),수익률(3달),수익률(6달),수익률(1년),발행주식수,시가총액,업종명,액면가,자본금
166090,"52,800","30,000",-2.31,+1.89,+15.87,+49.85,"19,752,674","9,590",반도체 제조업,500,9876337000
293480,"18,250","13,380",-3.30,-1.61,-7.49,-6.13,"17,772,946","2,394",의약품 제조업,500,8886473000
136480,"3,350","2,650",+1.07,+4.24,-7.21,+6.79,"106,209,702","3,006","도축, 육류 가공 및 저장 처리업",500,53104851000
101670,"53,700","11,500",-9.10,-52.90,-68.83,-6.36,"22,333,351","2,698","구조용 금속제품, 탱크 및 증기발생기 제조업",200,4466670200
365590,"2,625",777,-23.56,+3.06,-16.29,+74.92,"143,523,916","2,415",반도체 제조업,100,14071843000
149980,"13,620","5,170",-26.52,-9.06,+24.32,+57.50,"15,339,233","1,262",의료용 기기 제조업,100,1533923300
352820,"307,000","119,000",-10.92,-18.93,-19.70,+78.15,"41,652,097","88,302",오디오물 출판 및 원판 녹음업,500,20826048500
126700,"22,250","14,800",-2.92,-8.96,+2.64,+22.00,"14,942,112","2,734",사진장비 및 광학기기 제조업,500,7471056000
106080,"11,780","6,680",-13.81,-25.11,-32.93,-43.29,"15,056,315","1,006",전자부품 제조업,1000,15056315000
377400,"2,300","1,975",-13.26,-13.26,-7.78,-3.95,"5,407,500",108,금융 지원 서비스업,100,540750000
400840,"2,200","1,995",-1.65,-0.71,+0.72,+3.22,"5,120,000",107,금융 지원 서비스업,100,512000000
450050,"2,135","2,050",+0.24,-0.95,-,-,"5,014,000",105,금융 지원 서비스업,100,501400000
221840,"3,940","2,670",-3.74,+4.23,-14.70,+6.09,"18,700,561",554,"항공기,우주선 및 부품 제조업",500,9350280500
106190,"16,440","9,050",-11.60,+8.46,+5.86,+54.10,"7,088,782","1,000",기초 의약물질 및 생물학적 제제 제조업,500,3544391000
