,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210310001217,Y,01316245,효성중공업,남,전력,-,-,-,"1,493",-,11,-,"1,504",15.0,"101,053,000,000","67,000,000",-
1,20210310001217,Y,01316245,효성중공업,여,웰링턴사업단,-,-,-,31,-,1,-,32,2.8,"1,342,000,000","42,000,000",-
2,20210310001217,Y,01316245,효성중공업,남,기타,-,-,-,233,-,35,-,268,13.0,"18,366,000,000","69,000,000",-
3,20210310001217,Y,01316245,효성중공업,여,기타,-,-,-,42,-,16,-,58,8.4,"2,416,000,000","42,000,000",-
4,20210310001217,Y,01316245,효성중공업,남,성별합계,-,-,-,"2,769",-,75,-,"2,844",15.1,"198,282,000,000","70,000,000",-
5,20210310001217,Y,01316245,효성중공업,여,성별합계,-,-,-,222,-,88,-,310,7.1,"12,965,000,000","42,000,000",-
6,20210310001217,Y,01316245,효성중공업,여,전력,-,-,-,90,-,43,-,133,7.1,"5,639,000,000","42,000,000",-
7,20210310001217,Y,01316245,효성중공업,남,기전,-,-,-,633,-,14,-,647,19.5,"46,408,000,000","72,000,000",-
8,20210310001217,Y,01316245,효성중공업,여,기전,-,-,-,34,-,24,-,58,7.6,"2,112,000,000","36,000,000",-
9,20210310001217,Y,01316245,효성중공업,남,풍력사업단,-,-,-,10,-,-,-,10,14.3,"795,000,000","80,000,000",-
10,20210310001217,Y,01316245,효성중공업,여,풍력사업단,-,-,-,-,-,-,-,-,0.0,-,-,-
11,20210310001217,Y,01316245,효성중공업,남,건설,-,-,-,361,-,2,-,363,11.1,"29,132,000,000","80,000,000",-
12,20210310001217,Y,01316245,효성중공업,여,건설,-,-,-,25,-,4,-,29,8.2,"1,456,000,000","50,000,000",-
13,20210310001217,Y,01316245,효성중공업,남,웰링턴사업단,-,-,-,39,-,13,-,52,2.4,"2,527,000,000","49,000,000",-
