,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210318001105,Y,00118026,동원산업,남,해양수산,-,-,-,312,-,-,-,312,2.51,-,-,해상직(선원) 포함
1,20210318001105,Y,00118026,동원산업,여,성별합계,-,-,-,99,-,19,-,118,6.35,"4,048,000,000","36,000,000",-
2,20210318001105,Y,00118026,동원산업,여,해양수산,-,-,-,15,-,-,-,15,5.25,-,-,-
3,20210318001105,Y,00118026,동원산업,남,유통,-,-,-,109,-,8,-,117,8.00,-,-,-
4,20210318001105,Y,00118026,동원산업,여,유통,-,-,-,68,-,-,-,68,7.41,-,-,-
5,20210318001105,Y,00118026,동원산업,남,냉장,-,-,-,128,-,1,-,129,7.44,-,-,-
6,20210318001105,Y,00118026,동원산업,여,냉장,-,-,-,9,-,19,-,28,4.13,-,-,-
7,20210318001105,Y,00118026,동원산업,남,경영지원,-,-,-,23,-,-,-,23,5.45,-,-,-
8,20210318001105,Y,00118026,동원산업,여,경영지원,-,-,-,7,-,-,-,7,7.15,-,-,-
9,20210318001105,Y,00118026,동원산업,남,성별합계,-,-,-,572,-,9,-,581,4.88,"52,858,000,000","88,000,000",-
