,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210318000903,K,00105466,KCC건설,남,건축,-,-,-,335,-,74,-,409,9.8,"22,285,167,713","66,522,889",-
1,20210318000903,K,00105466,KCC건설,여,플랜트,-,-,-,-,-,1,-,1,-,-,-,-
2,20210318000903,K,00105466,KCC건설,여,건축,-,-,-,6,-,33,-,39,6.6,"284,028,093","47,338,016",-
3,20210318000903,K,00105466,KCC건설,남,관리,-,-,-,192,-,-,-,192,11.7,"14,362,887,887","74,806,708",-
4,20210318000903,K,00105466,KCC건설,여,관리,-,-,-,16,-,-,-,16,6.4,"694,620,192","43,413,762",-
5,20210318000903,K,00105466,KCC건설,남,영업,-,-,-,73,-,-,-,73,7.5,"4,756,650,423","65,159,595",-
6,20210318000903,K,00105466,KCC건설,여,영업,-,-,-,6,-,-,-,6,5.2,"198,818,386","33,136,398",-
7,20210318000903,K,00105466,KCC건설,남,토목,-,-,-,188,-,45,-,233,14.0,"15,335,183,696","81,570,126",-
8,20210318000903,K,00105466,KCC건설,여,토목,-,-,-,4,-,26,-,30,9.0,"205,100,616","51,275,154",-
9,20210318000903,K,00105466,KCC건설,남,플랜트,-,-,-,12,-,-,-,12,17.1,"979,424,610","81,618,718",-
