,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210419000194,Y,00121932,미원상사,남,안양,-,-,-,33,-,1,-,34,9,"2,667,188,590","78,446,723",-
1,20210419000194,Y,00121932,미원상사,여,익산,-,-,-,4,-,-,-,4,3,"219,111,910","54,777,978",-
2,20210419000194,Y,00121932,미원상사,여,안양,-,-,-,18,-,-,-,18,10,"962,760,570","53,486,698",-
3,20210419000194,Y,00121932,미원상사,남,반월,-,-,-,100,-,2,-,102,12,"6,985,381,560","68,484,133",-
4,20210419000194,Y,00121932,미원상사,여,반월,-,-,-,31,-,2,-,33,6,"1,702,975,090","51,605,306",-
5,20210419000194,Y,00121932,미원상사,남,전주1,-,-,-,88,-,-,-,88,7,"5,291,929,200","60,135,559",-
6,20210419000194,Y,00121932,미원상사,여,전주1,-,-,-,6,-,1,-,7,8,"315,953,210","45,136,173",-
7,20210419000194,Y,00121932,미원상사,남,전주2,-,-,-,201,-,-,-,201,5,"11,512,825,410","57,277,738",-
8,20210419000194,Y,00121932,미원상사,여,전주2,-,-,-,10,-,-,-,10,5,"556,657,180","55,665,718",-
9,20210419000194,Y,00121932,미원상사,남,익산,-,-,-,71,-,-,-,71,6,"3,996,523,720","56,289,066",-
