,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210317000757,K,00375931,인선이엔티,남,건설폐기물,-,-,-,194,-,28,-,222,7년 5개월,"11,622,859,000","52,355,000",-
1,20210317000757,K,00375931,인선이엔티,여,해체재활용,-,-,-,13,-,-,-,13,5년 9개월,"526,073,000","40,467,000",-
2,20210317000757,K,00375931,인선이엔티,여,건설폐기물,-,-,-,36,-,5,-,41,6년 2개월,"1,363,928,000","33,267,000",-
3,20210317000757,K,00375931,인선이엔티,남,매립폐기물,-,-,-,12,-,2,-,14,3년 7개월,"795,121,000","56,794,000",-
4,20210317000757,K,00375931,인선이엔티,여,매립폐기물,-,-,-,4,-,-,-,4,1년 5개월,"69,949,000","17,487,000",-
5,20210317000757,K,00375931,인선이엔티,남,소각,-,-,-,26,-,-,-,26,7년 0개월,"1,111,462,000","42,749,000",-
6,20210317000757,K,00375931,인선이엔티,여,소각,-,-,-,-,-,-,-,-,-,-,-,-
7,20210317000757,K,00375931,인선이엔티,남,파쇄재활용,-,-,-,22,-,4,-,26,5년 8개월,"1,399,433,000","53,824,000",-
8,20210317000757,K,00375931,인선이엔티,여,파쇄재활용,-,-,-,2,-,-,-,2,2년 6개월,"152,209,000","76,104,000",-
9,20210317000757,K,00375931,인선이엔티,남,해체재활용,-,-,-,67,-,2,-,69,4년 9개월,"2,900,972,000","42,043,000",-
