,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210309000338,Y,00126371,삼성전기,남,컴포넌트,-,-,-,"2,665",-,28,-,"2,693",10.6,-,-,-
1,20210309000338,Y,00126371,삼성전기,여,성별 총계,-,-,-,"2,720",29,56,-,"2,776",11.1,"190,744,000,000","69,000,000",-
2,20210309000338,Y,00126371,삼성전기,여,컴포넌트,-,-,-,942,15,10,-,952,9.8,-,-,-
3,20210309000338,Y,00126371,삼성전기,남,모듈,-,-,-,866,-,-,-,866,14.3,-,-,-
4,20210309000338,Y,00126371,삼성전기,여,모듈,-,-,-,252,2,-,-,252,12.1,-,-,-
5,20210309000338,Y,00126371,삼성전기,남,기판,-,-,-,"1,907",-,108,-,"2,015",13.6,-,-,-
6,20210309000338,Y,00126371,삼성전기,여,기판,-,-,-,448,-,34,-,482,11.7,-,-,-
7,20210309000338,Y,00126371,삼성전기,남,기타,-,-,-,"3,265",-,9,-,"3,274",16.3,-,-,-
8,20210309000338,Y,00126371,삼성전기,여,기타,-,-,-,"1,078",12,12,-,"1,090",11.9,-,-,-
9,20210309000338,Y,00126371,삼성전기,남,성별 총계,-,-,-,"8,703",-,145,-,"8,848",13.7,"825,556,000,000","94,000,000",-
