,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20220225006914,Y,00153393,태광산업,남,본사,-,-,-,191,-,8,-,199,7.2,-,-,-
1,20220225006914,Y,00153393,태광산업,여,성별합계,-,-,-,284,-,6,-,290,7.3,"9,360,000,000","32,000,000",-
2,20220225006914,Y,00153393,태광산업,여,〃,-,-,-,58,-,4,-,62,4.7,-,-,-
3,20220225006914,Y,00153393,태광산업,남,석유,-,-,-,364,-,8,-,372,14.2,-,-,-
4,20220225006914,Y,00153393,태광산업,여,〃,-,-,-,25,-,-,-,25,5.0,-,-,-
5,20220225006914,Y,00153393,태광산업,남,섬유,-,-,-,458,-,16,-,474,15.0,-,-,-
6,20220225006914,Y,00153393,태광산업,여,〃,-,-,-,193,-,2,-,195,8.3,-,-,-
7,20220225006914,Y,00153393,태광산업,남,연구소,-,-,-,17,-,-,-,17,11.9,-,-,-
8,20220225006914,Y,00153393,태광산업,여,〃,-,-,-,8,-,-,-,8,8.4,-,-,-
9,20220225006914,Y,00153393,태광산업,남,성별합계,-,-,-,"1,030",-,32,-,"1,062",13.2,"77,748,000,000","74,000,000",-
