,rcept_no,corp_cls,corp_code,corp_name,sexdstn,fo_bbm,reform_bfe_emp_co_rgllbr,reform_bfe_emp_co_cnttk,reform_bfe_emp_co_etc,rgllbr_co,rgllbr_abacpt_labrr_co,cnttk_co,cnttk_abacpt_labrr_co,sm,avrg_cnwk_sdytrn,fyer_salary_totamt,jan_salary_am,rm
0,20210322000948,Y,00107224,남선알미늄,남,알미늄,-,-,-,247,-,-,-,247,12,"15,416,089,000","62,413,000",-
1,20210322000948,Y,00107224,남선알미늄,여,알미늄,-,-,-,20,-,-,-,20,8,"740,678,000","37,034,000",-
2,20210322000948,Y,00107224,남선알미늄,남,자동차,-,-,-,268,-,-,-,268,24,"14,948,530,000","55,778,000",-
3,20210322000948,Y,00107224,남선알미늄,여,자동차,-,-,-,4,-,1,-,5,18,"192,993,000","38,599,000",-
4,20210322000948,Y,00107224,남선알미늄,남,SM정밀기술,-,-,-,54,-,-,-,54,2,"2,281,521,000","36,941,000",-
5,20210322000948,Y,00107224,남선알미늄,여,SM정밀기술,-,-,-,2,-,-,-,2,2,"57,847,000","20,874,000",-
