회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익
무림P&P,119007,9580,2022,B+,"1,604,057,802,775","941,368,622,014","68,291,305,211","54,964,533,741"
한화솔루션,162461,9830,2022,B,"23,831,697,412,977","13,934,785,853,643","966,247,380,110","569,238,863,544"
영원무역홀딩스,140964,9970,2022,C,"5,490,219,711,184","1,503,556,312,790","1,002,198,707,249","1,083,402,103,654"
OCI,148896,10060,2022,A,"6,745,534,254,000","2,734,136,888,000","976,672,782,000","1,001,629,603,000"
엘에스일렉트릭,105855,10120,2022,A,"3,322,804,977,898","1,773,513,972,232","187,524,016,869","126,966,694,511"
한솔피엔에스,103626,10420,2022,B,"134,944,512,348","83,843,135,370","2,686,828,469","2,870,110,705"
현대미포조선,164609,10620,2022,B+,"4,748,245,499,000","2,572,981,743,000","-109,066,121,000","-63,247,650,000"
LG이노텍,105961,11070,2022,A,"9,793,617,826,430","5,527,824,867,091","1,271,751,532,028","1,135,062,357,037"
롯데케미칼,165413,11170,2022,A,"26,784,587,810,580","9,520,345,523,797","-762,606,983,916","-392,619,240,018"
HMM,164645,11200,2022,A,"25,973,455,000,000","5,285,543,000,000","9,951,555,000,000","10,183,729,000,000"
현대위아,106623,11210,2022,A,"7,546,451,000,000","3,812,800,000,000","212,115,000,000","86,063,000,000"
현대코퍼레이션,164812,11760,2022,B,"1,831,301,801,553","1,394,707,519,478","66,827,508,014","90,537,641,434"
SKC,139889,11790,2022,A,"6,393,092,564,908","4,151,241,803,700","220,255,942,998","159,297,081,484"
현대모비스,164788,12330,2022,A,"55,406,698,000,000","17,599,066,000,000","2,026,531,000,000","3,362,612,000,000"
한화에어로스페이스,126566,12450,2022,B+,"15,157,301,978,809","11,233,518,424,948","377,215,126,599","174,616,406,341"
에스원,158501,12750,2022,B+,"2,075,658,595,502","552,669,332,935","204,138,904,290","200,760,270,160"
한솔케미칼,140955,14680,2022,B,"1,253,310,602,636","400,814,014,226","185,990,108,464","194,237,859,330"
SK텔레콤,159023,17670,2022,A,"31,308,262,000,000","19,153,066,000,000","1,612,070,000,000","1,236,152,000,000"
현대엘리베이터,164724,17800,2022,B,"3,014,471,063,421","1,847,719,039,348","43,016,096,622","110,105,864,213"
애경산업,139454,18250,2022,A,"482,639,615,354","123,665,920,018","39,038,794,156","22,750,105,839"
삼성에스디에스,126186,18260,2022,A,"11,952,424,889,489","3,485,454,954,575","916,074,023,314","1,132,080,207,483"
SK가스,144164,18670,2022,A,"5,831,776,891,571","3,490,881,745,324","390,470,990,382","355,031,851,860"
한섬,188089,20000,2022,B+,"1,684,715,498,594","348,223,076,669","168,315,660,882","161,773,696,909"
코웨이,170558,21240,2022,B+,"4,365,074,875,331","2,053,106,158,533","677,378,551,681","683,308,004,068"
롯데쇼핑,120526,23530,2022,A,"31,703,575,873,070","20,668,459,087,068","386,225,594,610","-567,342,307,033"
한솔홈데코,203582,25750,2022,B,"319,496,520,639","166,074,493,275","2,714,713,037","-6,157,071,692"
BGF,219097,27410,2022,B+,"1,938,013,970,903","201,490,551,514","61,203,792,653","38,895,385,596"
삼성엔지니어링,126308,28050,2022,A,"7,848,723,222,714","5,271,682,815,759","702,942,994,188","715,715,164,329"
