,corp_name,esg,fin_state,corp_code,stock_code,year
190,SPC삼립,B+,"1,181,871,545,430",00125530,005610,2020
191,넥센,B+,"4,239,211,984,013",00167192,005720,2020
192,에스엘,B+,"2,338,956,946,126",00125521,005850,2020
193,삼성전자,B+,"378,235,718,000,000",00126380,005930,2020
194,화승인더스트리,B+,"1,433,482,293,572",00166227,006060,2020
195,녹십자,B+,"2,151,399,593,550",00129679,006280,2020
196,한일현대시멘트,B+,"562,929,272,004",00164672,006390,2020
197,AK홀딩스,B+,"4,152,091,609,064",00125080,006840,2020
198,사조산업,B+,"1,087,398,591,007",00124799,007160,2020
199,이수페타시스,B+,"389,384,712,550",00107613,007660,2020
200,F&F 홀딩스,B+,"817,829,021,444",00126487,007700,2020
201,서연,B+,"2,151,012,180,055",00163114,007860,2020
202,한솔로지스틱스,B+,"195,971,591,246",00140946,009180,2020
203,태영건설,B+,"3,798,270,930,253",00153861,009410,2020
204,경동나비엔,B+,"734,688,738,144",00101488,009450,2020
205,삼성중공업,B+,"12,922,170,785,868",00126478,010140,2020
206,화신,B+,"822,660,475,416",00166315,010690,2020
207,아이에스동서,B+,"3,621,499,079,699",00115977,010780,2020
208,금호석유화학,B+,"5,027,282,217,052",00106368,011780,2020
209,계양전기,B+,"294,209,839,079",00102618,012200,2020
210,경동인베스트,B+,"589,277,834,910",00143527,012320,2020
211,HDC,B+,"9,617,140,797,332",00164636,012630,2020
212,화승코퍼레이션,B+,"1,210,430,207,497",00166272,013520,2020
213,유니드,B+,"1,120,794,922,952",00159786,014830,2020
214,예스코홀딩스,B+,"1,564,088,965,000",00105101,015360,2020
215,한국전력공사,B+,"203,143,324,000,000",00159193,015760,2020
216,서울도시가스,B+,"1,689,713,125,758",00130684,017390,2020
217,E1,B+,"3,731,448,422,489",00165583,017940,2020
218,한국카본,B+,"478,319,470,904",00159795,017960,2020
219,한온시스템,B+,"7,807,411,034,423",00161125,018880,2020
220,세아특수강,B+,"552,376,575,225",00133991,019440,2020
221,대교,B+,"845,161,976,169",00108913,019680,2020
222,다우기술,B+,"38,622,232,829,692",00176914,023590,2020
223,한국콜마홀딩스,B+,"1,218,505,783,282",00203290,024720,2020
224,팬오션,B+,"4,659,327,000,000",00122737,028670,2020
225,제일기획,B+,"2,242,463,952,194",00148276,030000,2020
226,LG디스플레이,B+,"35,066,012,000,000",00105873,034220,2020
227,신세계건설,B+,"765,614,223,582",00217947,034300,2020
228,NICE,B+,"2,730,355,252,812",00158316,034310,2020
229,신세계I&C,B+,"283,666,197,221",00219486,035510,2020
230,한국가스공사,B+,"35,909,774,516,082",00261285,036460,2020
231,SNT홀딩스,B+,"2,270,485,739,579",00225159,036530,2020
232,LG헬로비전,B+,"1,472,721,455,548",00222532,037560,2020
233,하나투어,B+,"703,260,915,174",00269940,039130,2020
234,코스맥스비티아이,B+,"881,564,731,266",00219574,044820,2020
235,동원F&B,B+,"1,683,934,672,593",00340917,049770,2020
236,LG화학,B+,"41,388,894,000,000",00356361,051910,2020
237,한전기술,B+,"700,291,402,115",00159209,052690,2020
238,테이팩스,B+,"162,605,488,159",00256955,055490,2020
239,세아홀딩스,B+,"5,084,932,952,179",00377610,058650,2020
240,종근당바이오,B+,"283,462,939,665",00390055,063160,2020
241,셀트리온,B+,"5,020,121,254,019",00413046,068270,2020
242,농심홀딩스,B+,"1,248,142,699,873",00459871,072710,2020
243,금호타이어,B+,"3,846,201,934,226",00481454,073240,2020
244,STX엔진,B+,"809,261,000,000",00480455,077970,2020
245,에이블씨엔씨,B+,"254,779,586,617",00400857,078520,2020
246,HDC현대EP,B+,"524,916,604,534",00357935,089470,2020
247,제주항공,B+,"1,168,566,447,146",00555874,089590,2020
248,후성,B+,"540,108,378,922",00595191,093370,2020
249,효성 ITX,B+,"161,698,569,724",00414850,094280,2020
250,웅진씽크빅,B+,"666,079,005,348",00628189,095720,2020
251,동성케미컬,B+,"797,944,146,723",00679314,102260,2020
252,풍산,B+,"2,552,025,017,070",00684714,103140,2020
253,영원무역,B+,"3,038,285,285,380",00776820,111770,2020
254,GKL,B+,"708,445,969,367",00557508,114090,2020
255,한전산업,B+,"163,588,747,240",00194947,130660,2020
256,선진,B+,"1,186,580,361,513",00855093,136490,2020
257,코오롱플라스틱,B+,"317,913,470,328",00241005,138490,2020
258,한국타이어앤테크놀로지,B+,"10,658,547,888,637",00937324,161390,2020
259,한국콜마,B+,"2,489,599,417,108",00939331,161890,2020
260,동일고무벨트,B+,"275,779,245,523",00939687,163560,2020
261,엔에이치엔,B+,"2,550,930,608,901",00983271,181710,2020
262,아세아시멘트,B+,"1,901,368,870,442",00990165,183190,2020
263,경보제약,B+,"253,239,176,532",00101664,214390,2020
264,잇츠한불,B+,"508,119,345,418",00911955,226320,2020
265,현대코퍼레이션홀딩스,B+,"216,918,775,575",01108099,227840,2020
266,두산밥캣,B+,"6,960,607,794,000",01032486,241560,2020
267,화승엔터프라이즈,B+,"1,154,956,254,214",01128613,241590,2020
268,넷마블,B+,"8,223,428,815,673",00904672,251270,2020
269,진에어,B+,"556,768,749,663",00653024,272450,2020
270,삼양패키징,B+,"564,505,000,000",01060814,272550,2020
271,한일시멘트,B+,"2,399,662,741,644",01319808,300720,2020
272,세아제강,B+,"1,052,052,851,837",01325979,306200,2020
273,두산퓨얼셀,B+,"790,187,905,982",01412725,336260,2020
274,동진쎄미켐,B+,"960,791,826,390",00118804,005290,2020
