corp_name,esg,fin_state,corp_code,stock_code
LX하우시스,A,"2,385,372,000,000",00759513,108670
코오롱인더,A,"5,043,688,226,427",00795135,120110
한미약품,A,"1,882,026,593,387",00828497,128940
이마트,A,"22,340,423,719,351",00872984,139480
삼양사,A,"2,576,478,000,000",00896285,145990
동아에스티,A,"980,667,423,900",00956930,170900
한진칼,A,"3,488,569,253,234",00983040,180640
종근당,A,"946,333,120,173",00992871,185750
코스맥스,A,"1,189,042,897,954",01009789,192820
해성디에스,A,"383,211,976,358",01032413,195870
서연이화,A,"1,803,837,512,500",01036446,200880
삼성바이오로직스,A,"6,424,201,164,962",00877059,207940
SK디앤디,A,"1,712,427,674,048",00508344,210980
한솔제지,A,"1,740,434,461,448",01060744,213500
이노션,A,"2,043,977,184,649",00565154,214320
일동제약,A,"605,277,113,554",01168383,249420
경동도시가스,A,"699,658,164,834",01208885,267290
오리온,A,"2,665,406,433,687",01238169,271560
한화시스템,A,"2,695,070,123,421",00339391,272210
BGF리테일,A,"2,371,169,598,247",01263022,282330
SK케미칼,A,"2,119,966,956,886",01267170,285130
롯데정보통신,A,"649,501,373,963",01262032,286940
효성화학,A,"2,417,365,034,469",01316236,298000
효성티앤씨,A,"2,824,127,677,639",01316227,298020
효성중공업,A,"3,703,454,378,084",01316245,298040
효성첨단소재,A,"2,376,593,774,635",01316254,298050
현대오토에버,A,"1,077,027,006,934",00362441,307950
하림지주,A,"9,430,533,292,281",00148364,003380
CJ ENM,A,"6,279,917,456,928",00265324,035760
케이티알파,A,"280,645,727,824",00260958,036030
현대에버다임,A,"249,858,941,521",00228536,041440
CJ프레시웨이,A,"1,122,778,702,937",00127954,051500
현대바이오랜드,A,"187,657,605,085",00347062,052260
에스티팜,A,"341,080,334,763",00871833,237690
삼양홀딩스,B+,"3,893,565,000,000",00126937,000070
하이트진로,B+,"3,297,783,698,841",00150244,000080
유한양행,B+,"2,393,522,100,926",00145109,000100
하이트진로홀딩스,B+,"3,904,980,586,600",00148993,000140
삼화페인트공업,B+,"594,292,973,764",00129387,000390
대동,B+,"938,726,122,031",00109286,000490
가온전선,B+,"542,461,377,882",00104768,000500
유수홀딩스,B+,"498,245,352,576",00163691,000700
동국제강,B+,"5,418,538,741,502",00114792,001230
GS글로벌,B+,"956,821,701,333",00138190,001250
