,tag,제 42 기,제 41 기,제 40 기
0,자산,,,
1,유동자산,601599692478,531195101144,364334740675
2,현금및현금성자산,96745947174,89281421218,70449079123
5,당기손익-공정가치 금융자산,7110710542,20592359595,15067681762
6,기타유동금융자산,12555234032,2173377781,1317598068
7,재고자산,243464824506,142529569907,108678120875
8,당기법인세자산,338877520,1339567200,1883380239
9,기타유동자산,20528568305,29286877982,23469648902
10,비유동자산,295207693145,223872748792,150449562131
12,당기손익-공정가치 금융자산,2022519531,1372093281,952891489
13,기타비유동금융자산,423510119,498034929,978618125
14,유형자산,263492988784,206374032868,93454410804
16,무형자산,6016922257,6039364547,44555851348
17,이연법인세자산,21815013718,7861441207,8568463760
18,기타비유동자산,96751761,341111955,0
19,자산총계,896807385623,755067849936,514784302806
20,부채,,,
21,유동부채,391718204409,307375764364,256612208166
23,계약부채,6938966324,4689633265,3364511205
26,기타유동금융부채,77706132016,51439122449,28634263409
27,당기법인세부채,12563903470,12300931048,6148465004
28,기타유동부채,7588930861,1602113404,925537208
29,비유동부채,90675973818,73548455130,81922369202
32,기타비유동금융부채,24625260338,31485214444,5232754663
33,확정급여부채,2642774982,4518431834,10180315564
34,이연법인세부채,2337999141,453275236,0
35,부채총계,482394178227,380924219494,338534577368
44,자본과부채총계,896807385623,755067849936,514784302806
