,tag,제 57 기,제 56 기,제 55 기
0,자산,,,
1,I. 유동자산,117773547682,130308574941,224421820374
2,현금및현금성자산,12196278415,5825092119,8779199210
3,기타유동금융자산,33271800000,53500965000,142403451947
6,재고자산,28437520608,24006260584,20798000591
7,기타유동자산,2374603107,2424528614,3000321022
8,II. 비유동자산,199836289336,143178232546,78744931786
9,기타비유동금융자산,12283466560,11470363115,10398615689
11,유형자산,165677924304,107137834106,56151085118
12,무형자산,4242429793,4693041989,4539103849
13,이연법인세자산,2057904271,1918572422,1244928345
14,기타비유동자산,6708253491,8616816764,1521046659
15,자산총계,317609837018,273486807487,303166752160
16,부채,,,
17,I. 유동부채,48754019822,33034527455,42505863093
21,당기법인세부채,297611101,437674077,25277251438
22,기타유동부채,7902501445,7905403611,4763644571
23,II. 비유동부채,38766549457,19156126656,35268959669
25,기타비유동부채,4966549457,4553351854,
26,부채총계,87520569279,52190654111,77774822762
36,자본과부채총계,317609837018,273486807487,303166752160
