,tag,제 55 기,제 54 기,제 53 기
0,자산,,,
1,유동자산,325347696175,405145893468,385844008835
2,현금및현금성자산,82183109180,46597163284,32463618172
3,단기금융자산,105720325261,241036943752,236879279175
9,재고자산,55305923436,44324567521,38700431236
10,기타유동자산,1649067025,0,0
11,비유동자산,438790748906,279776888706,268085083960
12,장기금융자산,30797476236,25944713457,21900525713
13,유형자산,280232025441,215055172486,213613508776
14,무형자산,73360720750,5960808804,7343352977
19,사용권자산,12836801786,9514484850,0
20,이연법인세자산,8214285730,2427896058,4084822022
21,자산총계,764138445081,684922782174,653929092795
22,부채,,,
23,유동부채,126324654521,94291434532,95725756072
29,유동리스부채,6525434112,4451745719,0
30,기타유동부채,5180385624,11876086462,13697275474
31,비유동부채,48282646326,19491772057,13127058172
32,퇴직급여부채,18471734611,3680989553,2872711396
35,비유동리스부채,6108875612,4504442159,0
36,이연법인세부채,9182809718,426694177,183059411
37,부채총계,174607300847,113783206589,108852814244
48,자본과부채총계,764138445081,684922782174,653929092795
