,tag,제 47 기,제 46 기,제 45 기
0,자산,,,
1,유동자산,1649804547143,1666899982143,1536084083082
2,현금및현금성자산,683234939608,534507436526,455629276025
4,유동성파생상품자산,18971745322,11282623499,998329976
5,유동성당기손익-공정가치측정금융자산,500000000,5789000000,
8,계약자산,167814328133,254876803514,221779834081
9,기타유동자산,64618282061,68523686549,64178967008
10,재고자산,176861493887,196292257902,196627797219
11,당기법인세자산,35955090,42828848,74805490
12,비유동자산,890591524697,871244424719,869751441971
14,당기손익-공정가치측정금융자산,113054753538,107695640352,93926605061
15,파생상품자산,2390962846,18510946,
16,기타포괄손익-공정가치측정금융자산,3083962041,709881786,2104783743
19,이연법인세자산,24019232534,28169052764,41455421891
20,기타비유동자산,10323589357,14392192008,19282419062
21,순확정급여자산,7043456128,,
22,유형자산,557286085311,553762224983,553698950853
23,무형자산,104471897507,113648891698,127364137487
24,사용권 자산,37449649677,29905495485,
25,자산총계,2540396071840,2538144406862,2405835525053
26,부채,,,
27,유동부채,644246457944,753778846648,700173003924
28,유동성파생상품부채,2955161012,2271131481,8659227958
31,계약부채,104119004303,102121760972,66595096849
34,유동성리스부채,18426098493,14308631660,
35,기타유동성금융부채,,,569495145
36,당기법인세부채,18351908036,8127364983,31535226417
37,유동성충당부채,31424318519,32947224691,51178558722
38,기타유동부채,24943773455,12265972933,12940394730
39,비유동부채,482679712774,421682757875,408191183915
40,파생상품부채,189057255,50379907,1215162818
43,리스부채,14415356587,10265722230,
44,순확정급여부채,4507193944,5095463696,5300714470
45,충당부채,4287504820,4314498123,
46,기타비유동부채,123152947,2888580062,2518517912
47,부채총계,1126926170718,1175461604523,1108364187839
57,부채 및 자본총계,2540396071840,2538144406862,2405835525053
