,tag,제 46 기,제 45 기,제 44 기
0,자산,,,
1,유동자산,4996549,5628862,5854506
2,현금및현금성자산,737439,291005,664506
5,기타금융자산,344119,264322,46254
6,파생상품자산,5336,566,4590
7,재고자산,2192289,3196033,3139082
8,기타유동자산,347667,297945,125767
9,당기법인세자산,1470,1963,43330
10,비유동자산,10693961,10704539,10100538
12,기타금융자산,58865,58332,47684
14,유형자산,10077801,10139139,9740727
15,무형자산,98770,101329,104447
16,기타비유동자산,255368,299033,73171
17,순확정급여자산,,,36394
18,이연법인세자산,92851,84,169
19,자산총계,15690510,16333401,15955044
20,부채,,,
21,유동부채,6565111,5748660,5789047
25,파생상품부채,33577,8160,9768
26,당기법인세부채,208,829,13124
27,충당부채,2875,3594,2768
28,계약부채,20668,21601,23080
29,기타유동부채,1497031,626201,611674
30,비유동부채,3442922,4088115,3696763
32,순확정급여부채,2613,11557,
34,이연법인세부채,54,240974,197097
35,부채총계,10008033,9836775,9485810
44,부채와자본총계,15690510,16333401,15955044
