,tag,제 52 기,제 51 기,제 50 기
0,자산,,,
1,유동자산,541194415178,573283917872,442113813718
2,현금및현금성자산,103607734253,188324535614,84919967676
3,당기손익-공정가치 측정 금융자산,100000000,3100000000,85406006883
7,기타포괄손익-공정가치 측정 금융자산,1044790000,646400000,307950000
8,기타유동금융자산,731466659,32238450943,668732546
9,재고자산,122881501434,68559960007,511959907
10,당기법인세자산,280960951,842083825,25084026
11,기타유동자산,55892157553,57116885118,35333237116
12,매각예정비유동자산,,,1096000000
13,비유동자산,413039134862,318618966975,271651139808
15,당기손익-공정가치 측정 금융자산,56870472329,1071202860,1643559290
16,기타포괄손익-공정가치 측정 금융자산,52746024360,88158708160,121648346976
18,기타비유동금융자산,12018970,12018970,14018970
20,유형자산,115296629626,73076406998,39559272446
21,무형자산,7545402606,4928256817,3412731401
22,기타비유동자산,10656145109,10539646834,10194930641
23,이연법인세자산,1646446199,2115145181,1935093501
24,자산총계,954233550040,891902884847,713764953526
25,부채,,,
26,유동부채,261355805065,361696242893,247554464817
30,기타충당부채,532831226,960294594,4020670752
31,기타유동부채,40431440244,48634168362,34196921058
32,당기법인세부채,5449079083,,1579859470
34,유동리스부채,8646158414,5024917597,
35,비유동부채,233023710871,109608617221,104312636977
38,기타비유동금융부채,921030128,1407668565,704255240
39,순확정급여부채,15357835379,15167435193,13690172797
40,비유동충당부채,26302165993,24431486175,19623047304
42,비유동리스부채,49595149053,8368110197,
43,부채총계,494379515936,471304860114,351867101794
53,자본과부채총계,954233550040,891902884847,713764953526
