,tag,제 45 기,제 44 기,제 43 기
0,자산,,,
1,유동자산,319912,386401,422861
2,현금및현금성자산,26120,40025,44279
3,단기금융자산,8350,25038,17432
4,파생상품자산,93,4454,6337
6,재고자산,102015,118778,129417
9,단기비금융자산,9964,22427,15967
11,비유동자산,297651,173706,131200
12,장기금융자산,17157,14288,10215
17,유형자산,192438,90288,74249
18,무형자산,2547,0,147
19,이연법인세자산,8,2777,3007
20,기타비유동자산,8294,28,1
21,자산총계,617563,560107,554061
22,부채,,,
23,유동부채,458274,439806,463598
25,계약부채,13009,18252,32369
27,유동성장기부채,32575,23232,2953
28,단기금융부채,24624,28409,44405
29,파생상품부채,6471,3008,838
30,단기비금융부채,581,372,367
31,비유동부채,77560,64010,26435
33,장기금융부채,15935,14232,1305
34,장기계약부채,1845,2032,371
35,장기비금융부채,2059,1369,
36,퇴직급여부채,1593,414,843
37,이연법인세부채,3531,1321,1321
38,부채총계,535834,503816,490033
48,자본과부채총계,617563,560107,554061
