,tag,제 21 기,제 20 기,제 20 기초
0,자산,,,
1,유동자산,110345804394,92004522779,75293096680
2,현금및현금성자산,30803922955,21481183495,12251074348
5,재고자산,35313640857,33364353444,33696678538
6,기타유동자산,5469594953,5893025528,6807941315
7,당기법인세자산,105831485,254900003,730100735
8,비유동자산,173022140706,149396768536,155921253061
10,장기기타금융자산,58502748005,41908346973,53245871214
11,관계기업에 대한 투자자산,2837717102,990495737,1030814680
12,유형자산,87007628260,82825512931,79949041706
13,사용권자산,1029034705,2321280826,
14,무형자산,21675240854,20020073899,18055428771
15,기타비유동자산,794421061,33339416,
16,자산총계,283367945100,241401291315,231214349741
17,부채,,,
18,유동부채,70878557832,65536834941,53360357842
21,유동리스부채,513391684,1207197046,
22,유동성장기부채,666826165,626096304,650000000
23,기타유동부채,5380856720,5289030926,4649719701
24,당기법인세부채,2717945041,2141617761,34031285
25,비유동부채,19755469512,17456595306,17564614803
28,비유동리스부채,498127269,985642698,
29,확정급여부채,981705022,3958797017,1472371145
30,이연법인세부채,10938669703,6401060590,9598011270
31,기타비유동부채,192420731,184168603,36272357
32,부채총계,90634027344,82993430247,70924972645
42,자본과부채총계,283367945100,241401291315,231214349741
